date,SYN_BENCH,SYN_ORBIT,SYN_CEDAR,SYN_HARBOR,SYN_RIDGE
2025-10-13,100.000000,48.000000,73.601552,36.000000,59.923238
2025-10-14,100.219851,48.331228,73.673415,35.825271,59.983498
2025-10-15,100.437840,48.658030,73.712637,35.658732,60.018774
2025-10-16,100.651641,48.973718,73.720171,35.507297,60.028440
2025-10-17,100.858979,49.271810,73.697654,35.377205,60.012215
2025-10-20,101.057671,49.546237,73.647373,35.273808,59.970173
2025-10-21,101.245661,49.791543,73.572206,35.201402,59.902738
2025-10-22,101.421055,50.003068,73.475555,35.163100,59.810678
2025-10-23,101.582151,50.177120,73.361263,35.160737,59.695092
2025-10-24,101.727472,50.311107,73.233526,35.194820,59.557390
2025-10-27,101.855791,50.403633,73.096796,35.264515,59.399273
2025-10-28,101.966151,50.454556,72.955686,35.367667,59.222699
2025-10-29,102.057882,50.464995,72.814869,35.500859,59.029859
2025-10-30,102.130618,50.437292,72.678982,35.659511,58.823136
2025-10-31,102.184297,50.374928,72.552533,35.838017,58.605070
2025-11-03,102.219168,50.282403,72.439814,36.029924,58.378324
2025-11-04,102.235784,50.165081,72.344823,36.228158,58.145641
2025-11-05,102.234994,50.029009,72.271189,36.425279,57.909809
2025-11-06,102.217926,49.880723,72.222111,36.613773,57.673622
2025-11-07,102.185972,49.727041,72.200303,36.786364,57.439846
2025-11-10,102.140759,49.574866,72.207951,36.936337,57.211183
2025-11-11,102.084125,49.430988,72.246673,37.057839,56.990244
2025-11-12,102.018087,49.301904,72.317499,37.146167,56.779514
2025-11-13,101.944805,49.193655,72.420847,37.197997,56.581333
2025-11-14,101.866550,49.111682,72.556520,37.211551,56.397867
2025-11-17,101.785666,49.060706,72.723703,37.186693,56.231090
2025-11-18,101.704530,49.044624,72.920976,37.124932,56.082769
2025-11-19,101.625518,49.066431,73.146334,37.029349,55.954444
2025-11-20,101.550965,49.128159,73.397213,36.904440,55.847419
