date,SYN_BENCH,SYN_ORBIT,SYN_CEDAR,SYN_HARBOR,SYN_RIDGE
2025-10-13,1200000.000000,1375000.000000,1550000.000000,1725000.000000,1900000.000000
2025-10-14,1229659.138574,1402953.426578,1576806.364644,1750983.010543,1925363.615668
2025-10-15,1258779.893851,1430629.641981,1603451.814388,1776864.499824,1950659.138574
2025-10-16,1286857.356601,1457762.486569,1629779.893851,1802545.014925,1975819.538518
2025-10-17,1313451.484468,1484107.463181,1655642.943107,1827929.197468,2000779.893851
2025-10-20,1338214.461677,1509451.484468,1680906.189862,1852927.726401,2025478.404553
2025-10-21,1360912.324531,1533621.368009,1705451.484468,1877459.137780,2049857.356601
2025-10-22,1381439.508141,1556490.740550,1729180.574274,1901451.484468,2073864.022578
2025-10-23,1399825.409939,1577985.076106,1752017.826548,1924843.801953,2097451.484468
2025-10-24,1416232.561891,1598084.667081,1773912.324531,1947587.350404,2120579.365793
2025-10-27,1430946.525044,1616825.409939,1794839.278521,1969646.607673,2143214.461677
2025-10-28,1213358.134722,1403297.374134,1583800.712882,1759999.993005,1934331.256996
2025-10-29,1225939.200282,1419641.211319,1602825.409939,1780640.306710,1955912.324531
2025-10-30,1238213.170291,1435042.548014,1620968.112324,1800574.876851,1976948.596919
2025-10-31,1250722.587031,1449724.585255,1638308.005861,1819825.409939,1997439.508141
2025-11-03,1263995.353844,1463939.200282,1654946.525044,1838427.548703,2017393.002356
2025-11-04,1278511.912664,1477956.904980,1671004.541932,1856430.145918,2036825.409939
2025-11-05,1294675.372462,1492056.061429,1686619.016358,1873894.269108,2055761.192644
2025-11-06,1312786.445882,1506511.784485,1701939.200282,1890891.956384,2074232.561891
2025-11-07,1333024.752386,1521584.973817,1717122.501497,1907504.748782,2092278.976118
2025-11-10,1355437.650387,1537511.912664,1732330.121299,1923822.028983,2109946.525044
2025-11-11,1379937.292730,1554494.847966,1747722.587031,1939939.200282,2127287.210451
2025-11-12,1175306.088605,1341693.927414,1532455.303299,1724955.742887,1913358.134722
2025-11-13,1203210.232288,1361220.814873,1548674.245167,1740973.187164,1930220.609768
2025-11-14,1232220.457563,1382134.238691,1565511.912664,1757093.045107,1946939.200282
2025-11-17,1261838.727421,1404437.650387,1583083.658747,1773414.742189,1963580.716228
2025-11-18,1291529.199583,1428079.087050,1601484.492456,1790033.591715,1980213.170291
2025-11-19,1320751.542582,1452953.242936,1620786.445882,1807038.852965,1996904.716566
2025-11-20,1348994.530955,1478905.667674,1641036.577902,1824511.912664,2013722.587031
2025-11-21,1375807.830765,1505738.923721,1662255.670009,1842524.626857,2030732.042419
2025-11-24,1400829.999187,1533220.457563,1684437.650387,1861137.856949,2047995.353844
2025-11-25,1423810.957269,1561091.870901,1707549.762178,1880400.229747,2065570.831082
2025-11-26,1444627.538632,1589079.222170,1731533.471295,1900347.146762,2083511.912664
2025-11-27,1232291.147358,1385903.947723,1525306.088605,1690000.062958,1870866.331990
2025-11-28,1248947.048942,1413293.967290,1550763.061539,1711366.049640,1889675.372462
2025-12-01,1263865.338381,1439994.530955,1576780.871613,1733437.650387,1908973.223269
2025-12-02,1277424.146983,1465778.375235,1603220.457563,1756193.032962,1928786.445882
2025-12-03,1290086.131988,1490454.783353,1629931.069223,1779596.434115,1949133.559563
2025-12-04,1302369.710784,1513877.188521,1656754.445346,1803598.888204,1970024.752386
2025-12-05,1314816.828223,1535949.017088,1683529.199583,1828139.224792,1991461.722250
2025-12-08,1327959.261119,1556627.538632,1710095.293070,1853145.314906,2013437.650387
2025-12-09,1342285.554936,1575925.569484,1736298.469670,1878535.540554,2035937.307764
2025-12-10,1358210.648401,1593910.961783,1761994.530955,1904220.457563,2058937.292730
2025-12-11,1376050.074623,1610703.898426,1787053.332459,1930104.617876,2082406.396188
2025-12-12,1165000.342771,1395472.101751,1580362.390437,1725088.514154,1875306.088605
2025-12-15,1187126.720087,1410424.146983,1603829.999187,1751070.607091,1899591.121250
2025-12-16,1211359.173886,1424801.146994,1626387.772545,1776949.394121,1924210.232288
2025-12-17,1237496.725846,1438867.139891,1647992.539099,1802625.477377,1949106.946700
2025-12-18,1265219.947870,1452898.562657,1668627.538632,1828003.588776,1974220.457563
2025-12-19,1294110.822576,1467173.230476,1688302.886595,1852994.530955,1999486.574915
2025-12-22,1323678.733593,1481959.261119,1707055.293783,1877516.994539,2024838.727421
2025-12-23,1353390.969712,1497504.385934,1724947.048942,1901499.214688,2050209.001197
2025-12-24,1382705.846289,1514026.073582,1742064.292529,1924880.433203,2075529.199583
2025-12-25,1411106.384570,1531702.860244,1758514.629458,1947612.136379,2100731.907328
2025-12-26,1438132.454929,1550667.231948,1774424.146983,1969659.043396,2125751.542582
2025-12-29,1232409.385498,1340000.342771,1558933.920380,1759999.825117,1919525.380283
2025-12-30,1255671.257449,1361728.779480,1574196.103244,1780627.538632,1943994.530955
2025-12-31,1276777.438540,1384823.501602,1589369.710784,1800549.768712,1968104.859662
2026-01-01,1295721.326943,1409200.999176,1604616.212940,1819788.473280,1991807.830765
2026-01-02,1312630.761721,1434726.622033,1620095.059489,1838379.536052,2015061.265304
2026-01-05,1327760.074405,1461219.947870,1635959.261119,1856372.035460,2037829.999187
2026-01-06,1341474.275900,1488461.975122,1652351.148968,1873827.244755,2060086.431913
2026-01-07,1354226.361868,1516203.853859,1669398.430122,1890817.383656,2081810.957269
2026-01-08,1366529.147655,1544176.806653,1687210.648401,1907424.146983,2102992.269280
2026-01-09,1378923.383917,1572102.843879,1705876.148511,1923737.040254,2123627.538632
2026-01-12,1391944.135361,1599705.846289,1725459.627700,1939851.556139,2143722.456825
2026-01-13,1175087.513017,1395722.573015,1515000.342771,1724867.228945,1932291.147358
2026-01-14,1190779.828452,1421913.156148,1536511.022133,1740885.606761,1951355.945337
2026-01-15,1208351.087784,1447070.663520,1558977.513054,1757008.182559,1969947.048942
2026-01-16,1228014.473502,1471029.348431,1582359.173886,1773334.326442,1988102.048195
2026-01-19,1249853.089809,1493671.257449,1606590.000382,1789959.261119,2005865.338381
2026-01-20,1273814.795603,1514930.932845,1631580.454913,1806972.121891,2023287.427276
2026-01-21,1299715.446363,1534798.022179,1657219.947870,1824454.140657,2040424.146983
2026-01-22,1327250.343361,1553317.691025,1683379.902494,1842476.990934,2057335.782702
2026-01-23,1356013.178354,1570588.822358,1709917.318193,1861101.327619,2074086.131988
2026-01-26,1385521.295859,1586760.074405,1736678.733593,1880375.551239,2090741.509221
2026-01-27,1415245.702338,1602023.954110,1763504.479494,1900334.821864,2107369.710784
2026-01-28,1213643.956454,1385609.142486,1559233.103874,1690000.342771,1893038.957131
2026-01-29,1242193.895440,1399771.377830,1585705.846289,1711378.928463,1909816.828223
2026-01-30,1269426.100659,1413783.260242,1611771.037691,1733462.865833,1926769.208971
2026-02-02,1294953.083775,1427923.383917,1637288.303710,1756230.071305,1943959.261119
2026-02-03,1318493.378905,1442465.230476,1662132.454929,1779644.540756,1961446.437629
2026-02-04,1339889.042800,1457666.266118,1686196.956321,1803657.083042,1979285.554936
2026-02-05,1359115.474996,1473757.677251,1709396.879714,1828206.322197,1997525.937558
2026-02-06,1376282.947349,1490935.153825,1731671.257449,1853219.947870,2016210.648401
2026-02-09,1391629.747865,1509351.087784,1752984.772013,1878616.188543,2035375.816778
2026-02-10,1405507.365108,1529108.497689,1773328.734807,1904305.477498,2055050.074623
2026-02-11,1418358.634341,1550256.921684,1792721.326943,1930192.277604,2075254.109698
2026-02-12,1199690.204175,1341790.442573,1580207.095379,1725177.027743,1865000.342771
2026-02-13,1212041.035613,1365647.923718,1597855.718363,1751158.171210,1886292.733788
